,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Boyolangu,36,ID,1547963934,92,-8.09,111.9,81.12,5.95
1,Keskin,80,TR,1547964508,86,39.67,33.62,24.15,2.82
2,Esperance,20,TT,1547960400,94,10.24,-61.45,71.6,5.17
3,Rikitea,92,PF,1547963936,99,-23.12,-134.97,80.22,13.56
4,Nikolskoye,20,RU,1547962200,85,59.7,30.79,24.8,11.18
5,Ushuaia,40,AR,1547960400,61,-54.81,-68.31,46.4,5.82
6,Mataura,100,NZ,1547963935,96,-46.19,168.86,54.21,24.07
7,Palmer,0,AU,1547962200,50,-34.85,139.16,78.8,18.34
8,Omboue,48,GA,1547964517,100,-1.57,9.26,80.4,3.04
9,Carnarvon,0,ZA,1547963988,42,-30.97,22.13,56.1,9.42
10,Qaanaaq,0,GL,1547963948,100,77.48,-69.36,-26.52,10.98
11,Albany,90,US,1547963520,79,42.65,-73.75,23.0,3.36
12,Kodiak,1,US,1547962500,55,39.95,-94.76,8.96,6.4
13,Kavieng,88,PG,1547964099,100,-2.57,150.8,79.23,9.42
14,Saint-Philippe,90,CA,1547962920,70,45.36,-73.48,-5.81,20.8
15,Punta Arenas,20,CL,1547960400,92,-53.16,-70.91,48.2,19.46
16,Tecoanapa,90,MX,1547962980,94,16.99,-99.26,75.2,2.24
17,Nata,40,CY,1547962200,81,34.78,32.57,51.8,9.17
18,Sioux Lookout,5,CA,1547960400,73,50.1,-91.92,-23.81,4.7
19,Kapaa,75,US,1547960160,78,22.08,-159.32,73.94,14.99
20,Port Hardy,40,CA,1547960400,100,50.7,-127.42,35.6,2.24
21,Mahebourg,20,MU,1547960400,74,-20.41,57.7,84.2,14.99
22,Puerto Ayora,92,EC,1547963946,100,-0.74,-90.35,76.8,7.85
23,Leningradskiy,48,RU,1547964032,79,69.38,178.42,-7.71,15.23
24,Tiksi,36,RU,1547963953,0,71.64,128.87,-43.8,2.71
25,Ribeira Grande,64,PT,1547964539,97,38.52,-28.7,62.67,7.52
26,Jamestown,0,AU,1547963993,82,-33.21,138.6,77.34,5.39
27,Oksfjord,56,NO,1547963400,84,70.24,22.35,24.8,13.87
28,Norman Wells,40,CA,1547960400,75,65.28,-126.83,-20.21,3.36
29,Chuy,0,UY,1547964123,93,-33.69,-53.46,62.31,9.53
30,Hilo,1,US,1547959980,84,19.71,-155.08,71.06,18.25
31,Sitamau,0,IN,1547964549,52,24.01,75.35,76.08,6.17
32,Katsuura,75,JP,1547961780,71,33.93,134.5,53.6,24.16
33,New Norfolk,0,AU,1547962200,26,-42.78,147.06,80.6,18.34
34,Alcantara,92,PH,1547964553,100,9.97,123.41,77.07,18.37
35,Khatanga,64,RU,1547963999,77,71.98,102.47,-12.21,6.96
36,Kargil,64,PK,1547964556,87,34.56,76.13,4.08,1.7
37,Koflach,75,AT,1547963400,92,47.07,15.08,26.6,2.24
38,East London,75,ZA,1547960400,63,-33.02,27.91,62.6,4.7
39,Princeton,1,US,1547963700,69,41.37,-89.46,11.12,10.29
40,Bredasdorp,24,ZA,1547960400,63,-34.53,20.04,60.8,5.82
41,Fonte Boa,48,BR,1547964563,98,-2.51,-66.09,74.73,2.59
42,Yulara,68,AU,1547960400,11,-25.24,130.99,105.8,14.99
43,Tura,0,IN,1547964309,69,25.52,90.21,71.04,3.38
44,Saint-Pierre,80,FR,1547962200,81,48.95,4.24,35.6,5.82
45,Merauke,48,ID,1547964568,92,-8.49,140.4,83.73,6.4
46,Mount Gambier,0,AU,1547960400,53,-37.83,140.78,77.0,16.11
47,Pevek,36,RU,1547964570,100,69.7,170.27,-22.92,5.84
48,Atuona,80,PF,1547964056,100,-9.8,-139.03,80.58,15.23
49,Manggar,92,ID,1547964089,97,-2.88,108.27,80.49,10.87
50,Siilinjarvi,90,FI,1547963400,83,63.08,27.67,-9.41,9.17
51,Khasan,12,RU,1547964575,81,42.43,130.64,19.56,18.48
52,Vaini,0,IN,1547960400,41,15.34,74.49,77.0,9.17
53,Flinders,75,AU,1547960400,65,-34.58,150.85,77.0,11.41
54,Hobart,0,AU,1547962200,26,-42.88,147.33,80.6,18.34
55,Te Anau,92,NZ,1547964122,95,-45.41,167.72,51.15,13.33
56,Thompson,5,CA,1547960400,73,55.74,-97.86,-32.81,4.94
57,Barrow,0,AR,1547964036,66,-38.31,-60.23,63.3,13.33
58,Mahajanga,20,MG,1547960400,78,-15.72,46.32,82.4,4.7
59,Hovd,40,NO,1547963400,87,63.83,10.7,32.0,12.75
60,Mar del Plata,0,AR,1547964587,37,-46.43,-67.52,71.04,18.48
61,Lorengau,92,PG,1547964588,100,-2.02,147.27,80.04,9.98
62,Provideniya,80,RU,1547964052,100,64.42,-173.23,13.35,7.18
63,Cabo San Lucas,5,MX,1547959320,55,22.89,-109.91,66.2,9.17
64,Avarua,75,CK,1547960400,78,-21.21,-159.78,82.4,3.36
65,Upernavik,56,GL,1547964594,100,72.79,-56.15,-8.52,9.64
66,Progreso,0,UY,1547960400,77,-34.68,-56.22,62.6,10.42
67,San Cristobal,75,EC,1547960400,100,-0.39,-78.55,55.4,5.82
68,Sorland,36,NO,1547964598,100,67.67,12.69,36.39,23.17
69,Joensuu,90,FI,1547963400,76,62.6,29.76,-11.21,4.7
70,Dzhebariki-Khaya,0,RU,1547964133,0,62.22,135.8,-47.67,2.48
71,Maykop,48,RU,1547964327,82,44.61,40.1,28.65,2.26
72,Waipawa,0,NZ,1547964057,48,-39.94,176.59,67.71,20.15
73,Samarai,92,PG,1547964607,100,-10.62,150.67,79.41,15.23
74,Torbay,40,CA,1547960400,72,47.66,-52.73,14.0,11.41
75,Butaritari,88,KI,1547964610,100,3.07,172.79,82.92,14.9
76,Busselton,0,AU,1547964611,62,-33.64,115.35,84.63,6.06
77,Broken Hill,80,AU,1547960400,16,-31.97,141.45,86.0,16.11
78,Manuk Mangkaw,0,PH,1547964614,99,4.8,119.85,83.1,13.22
79,San Rafael,0,AR,1547964616,54,-34.61,-68.33,66.36,8.41
80,Khandyga,0,RU,1547964617,0,62.65,135.58,-47.67,2.48
81,Airai,88,TL,1547964618,86,-8.93,125.41,76.71,2.26
82,Sarakhs,75,TM,1547960400,86,36.54,61.16,33.8,11.41
83,Port Lincoln,24,AU,1547964621,71,-34.72,135.86,74.1,12.77
84,Nantucket,90,US,1547963580,100,41.28,-70.1,37.04,17.22
85,Talnakh,64,RU,1547964624,71,69.49,88.39,0.66,12.1
86,Qingyuan,88,CN,1547964625,92,27.62,119.06,54.3,2.48
87,Hermanus,24,ZA,1547964626,74,-34.42,19.24,56.28,3.83
88,Hithadhoo,88,MV,1547964628,100,-0.6,73.08,79.41,7.74
89,Mecca,0,SA,1547964572,61,21.43,39.83,67.26,4.38
90,Igrim,76,RU,1547964631,84,63.19,64.42,17.04,5.06
91,Cape Town,0,ZA,1547960400,63,-33.93,18.42,60.8,5.82
92,Along,0,IN,1547964633,28,28.17,94.8,67.8,0.69
93,Kruisfontein,0,ZA,1547964635,78,-34.0,24.73,64.38,5.17
94,Banda Aceh,64,ID,1547964636,80,5.56,95.32,83.01,5.17
95,Bethel,90,US,1547960460,83,60.79,-161.76,12.92,6.93
96,Santa Marinella,75,IT,1547963400,93,42.04,11.87,46.4,5.82
97,Slave Lake,90,CA,1547960400,77,55.28,-114.77,6.8,12.75
98,San Jose,0,PH,1547964642,69,15.79,120.99,80.94,4.72
99,Bluff,0,AU,1547964644,31,-23.58,149.07,94.26,14.79
100,Taoudenni,0,ML,1547964645,47,22.68,-3.98,34.59,2.93
101,Yumen,0,CN,1547964647,97,40.29,97.04,21.54,2.59
102,Yar-Sale,0,RU,1547964648,72,66.83,70.83,-6.0,4.83
103,Ostrovnoy,8,RU,1547964649,77,68.05,39.51,-12.57,2.71
104,Avezzano,76,IT,1547960100,100,42.03,13.43,23.0,1.12
105,Bathsheba,40,BB,1547960400,73,13.22,-59.52,77.0,12.75
106,Port Elizabeth,90,US,1547964240,96,39.31,-74.98,46.4,11.41
107,Batagay-Alyta,56,RU,1547964654,0,67.8,130.41,-41.19,2.71
108,Kudahuvadhoo,0,MV,1547964656,100,2.67,72.89,81.03,14.23
109,Poya,8,NC,1547964657,95,-21.35,165.16,78.51,22.28
110,Vila Velha,20,BR,1547960400,94,-3.71,-38.6,77.0,3.36
111,Barra do Garcas,24,BR,1547964660,91,-15.89,-52.26,71.13,3.38
112,Aswan,0,EG,1547963926,94,24.09,32.9,44.58,3.15
113,Kenai,1,US,1547960160,87,60.55,-151.26,1.94,3.36
114,Lagoa,20,PT,1547962200,82,37.14,-8.45,55.4,14.99
115,Coihaique,0,CL,1547960400,67,-45.58,-72.07,57.2,2.24
116,Lompoc,1,US,1547962500,93,34.64,-120.46,57.92,3.36
117,Ostersund,80,SE,1547963400,85,63.18,14.64,21.2,9.17
118,Laredo,1,US,1547963760,65,27.51,-99.51,53.06,3.36
119,Plettenberg Bay,0,ZA,1547964670,100,-34.05,23.37,63.39,6.51
120,Shenjiamen,0,CN,1547964671,98,29.96,122.3,48.09,23.51
121,Ziro,20,IN,1547962200,53,27.54,93.82,73.4,5.82
122,Lebu,0,ET,1547964674,53,8.96,38.73,56.01,3.94
123,Nsoko,80,ZA,1547960400,68,-27.07,31.93,69.8,12.75
124,Dikson,76,RU,1547964677,100,73.51,80.55,6.6,5.95
125,Castro,0,CL,1547960400,100,-42.48,-73.76,51.8,3.36
126,Tuatapere,56,NZ,1547964113,100,-46.13,167.69,54.12,25.41
127,Necochea,0,AR,1547964681,79,-38.55,-58.74,59.61,13.67
128,Geraldton,5,CA,1547962020,66,49.72,-86.95,-29.21,2.24
129,Tual,88,ID,1547964684,100,-5.67,132.75,79.59,17.25
130,Senneterre,1,CA,1547960400,73,48.39,-77.24,-31.01,2.24
131,Purepero,8,MX,1547964687,82,19.92,-102.02,42.69,1.92
132,Oistins,40,BB,1547960400,73,13.07,-59.53,77.0,12.75
133,Mahibadhoo,12,MV,1547964690,100,3.78,72.97,80.67,11.43
134,Revelstoke,90,CA,1547962560,87,50.99,-118.19,32.0,2.24
135,Kiruna,0,SE,1547961600,84,67.86,20.23,1.4,3.04
136,Broome,0,GB,1547963760,92,52.47,1.45,26.6,1.12
137,Vestmanna,12,FO,1547963400,80,62.16,-7.17,39.2,13.87
138,Imeni Vorovskogo,75,RU,1547962200,85,55.72,38.34,23.0,11.18
139,Mezen,32,RU,1547964433,77,65.85,44.24,-3.84,3.49
140,West Wendover,1,US,1547960160,88,40.74,-114.07,28.04,2.48
141,Asosa,0,ET,1547964701,30,10.07,34.53,71.13,4.38
142,Arraial do Cabo,48,BR,1547964702,91,-22.97,-42.02,76.53,13.56
143,Gazimurskiy Zavod,12,RU,1547964703,58,51.55,118.33,15.6,5.5
144,Cidreira,76,BR,1547964705,95,-30.17,-50.22,69.78,10.2
145,Pangody,32,RU,1547964706,67,65.85,74.49,-4.83,4.83
146,Pisco,0,PE,1547960400,83,-13.71,-76.2,71.6,9.17
147,Deputatskiy,0,RU,1547964709,0,69.3,139.9,-62.25,2.59
148,Luderitz,0,NA,1547964710,55,-26.65,15.16,64.29,9.98
149,Berlevag,88,NO,1547964711,100,70.86,29.09,22.08,8.3
150,Cayenne,75,GF,1547962200,83,4.94,-52.33,78.8,10.29
151,Tecpan,0,GT,1547964000,77,14.76,-90.99,62.6,11.41
152,Sotouboua,80,TG,1547964715,96,8.56,0.98,70.68,6.73
153,Mount Isa,0,AU,1547962200,16,-20.73,139.49,107.6,14.99
154,Khorinsk,8,RU,1547964718,61,52.16,109.78,12.54,3.38
155,Luorong,100,CN,1547964719,100,24.41,109.6,48.18,13.0
156,Port Alfred,44,ZA,1547964721,100,-33.59,26.89,61.77,5.39
157,Nemuro,75,JP,1547960400,63,43.32,145.57,26.6,4.7
158,Nsanje,92,MZ,1547964724,100,-16.92,35.26,73.11,4.16
159,Grindavik,75,IS,1547964000,100,63.84,-22.43,32.0,20.8
160,Pangkalanbuun,76,ID,1547964726,92,-2.68,111.62,82.2,4.16
161,Ilulissat,88,GL,1547963400,77,69.22,-51.1,-0.41,11.41
162,Roald,0,NO,1547961600,100,62.58,6.12,32.0,10.29
163,Verkhoyansk,48,RU,1547964731,0,67.55,133.39,-51.99,2.59
164,Komsomolskiy,80,RU,1547964732,92,67.55,63.78,11.91,10.65
165,Hasaki,20,JP,1547962200,54,35.73,140.83,55.4,9.17
166,Campeche,75,MX,1547963760,88,19.84,-90.54,73.4,11.41
167,Inhambane,75,MZ,1547960400,100,-23.87,35.38,75.2,20.8
168,Maragogi,92,BR,1547964738,100,-9.01,-35.22,75.18,3.27
169,Charagua,12,BO,1547964739,83,-19.79,-63.2,65.55,7.29
170,La Rioja,24,AR,1547964740,70,-29.41,-66.86,67.71,3.38
171,Meulaboh,76,ID,1547964742,100,4.14,96.13,79.5,5.84
172,Vanavara,20,RU,1547964743,66,60.35,102.28,14.16,6.29
173,Nakhon Phanom,0,LA,1547960400,45,17.4,104.79,86.0,5.82
174,Namatanai,88,PG,1547964746,100,-3.66,152.44,81.03,12.33
175,Georgetown,100,GY,1547964467,97,6.8,-58.16,73.65,6.85
176,Rylsk,68,RU,1547964749,81,51.57,34.68,17.94,8.19
177,Iki-Burul,75,RU,1547962200,98,45.82,44.65,32.0,8.95
178,Yellowknife,90,CA,1547962500,76,62.45,-114.38,-4.01,18.34
179,Tyret Pervaya,8,RU,1547964753,71,53.67,102.31,13.98,4.05
180,Dwarka,40,IN,1547962200,46,28.58,77.04,71.6,4.61
181,La Ligua,0,CL,1547960400,87,-32.45,-71.23,55.4,5.82
182,Vao,80,EE,1547964757,83,59.1,26.19,23.25,17.25
183,Hambantota,75,LK,1547961000,66,6.12,81.12,84.2,6.93
184,Clyde River,90,CA,1547961720,82,70.47,-68.59,-20.21,11.65
185,Saskylakh,76,RU,1547964761,89,71.97,114.09,-20.76,10.54
186,Dongsheng,92,CN,1547964762,72,29.72,112.52,45.03,13.67
187,Zlitan,0,LY,1547964764,100,32.47,14.57,36.66,4.61
188,Waikuku,0,NZ,1547964000,30,-43.29,172.68,71.6,18.34
189,Touros,40,BR,1547960400,83,-5.2,-35.46,78.8,3.36
190,Tucuman,100,PE,1547964768,81,-17.17,-70.89,61.05,1.59
191,Tasiilaq,20,GL,1547963400,73,65.61,-37.64,21.2,4.7
192,Soligalich,68,RU,1547964770,76,59.08,42.29,13.08,10.65
193,Lusambo,48,CD,1547964772,91,-4.97,23.44,72.75,2.71
194,Gimbi,8,ET,1547964773,43,8.81,37.79,60.24,3.38
195,Itaberai,56,BR,1547964774,89,-16.02,-49.81,68.34,1.7
196,Faya,40,SA,1547964000,67,18.39,42.45,60.8,6.93
197,Zhucheng,32,CN,1547960400,52,30.85,114.8,46.4,6.71
198,Rosarito,40,CO,1547960400,83,4.91,-75.23,69.8,5.82
199,Denpasar,20,ID,1547962200,74,-8.65,115.22,86.0,8.05
200,Sinnamary,100,GF,1547964781,96,5.38,-52.96,78.78,12.77
201,Lima Duarte,48,BR,1547964782,88,-21.84,-43.79,65.46,3.94
202,Orange Cove,20,US,1547963760,86,36.62,-119.31,51.98,1.81
203,Nuuk,80,GL,1547959800,72,64.17,-51.74,17.6,4.7
204,Zyryanka,32,RU,1547964786,0,65.73,150.89,-40.92,2.37
205,Tuburan,90,PH,1547960400,83,10.73,123.82,82.4,9.17
206,Petropavlovka,32,RU,1547964789,53,50.61,105.32,17.85,3.71
207,Noumea,20,NC,1547964000,54,-22.28,166.46,84.2,20.8
208,Nome,1,US,1547963700,66,30.04,-94.42,37.04,16.11
209,Port Blair,44,IN,1547964793,99,11.67,92.75,82.83,15.46
210,Cordoba,20,CO,1547964648,85,5.59,-73.79,43.23,2.26
211,Nanhai,88,CN,1547964796,79,30.13,111.78,44.4,9.98
212,Tessalit,0,ML,1547964797,35,20.2,1.01,37.56,7.85
213,Nortelandia,36,BR,1547964798,95,-14.45,-56.8,73.2,3.71
214,Fortuna,75,ES,1547962200,93,38.18,-1.13,50.0,5.82
215,Kasongo,92,CD,1547964801,91,-4.43,26.67,71.49,3.15
216,Gat,8,SN,1547962200,35,14.69,-16.54,62.6,12.75
217,Antsohihy,92,MG,1547964804,100,-14.88,47.99,75.18,3.71
218,Tuktoyaktuk,75,CA,1547960400,76,69.44,-133.03,-4.01,8.05
219,Lavrentiya,56,RU,1547964806,97,65.58,-170.99,0.3,9.75
220,Quetame,75,CO,1547960400,81,4.33,-73.86,53.6,4.7
221,Chokurdakh,24,RU,1547964809,0,70.62,147.9,-42.45,2.48
222,Mugur-Aksy,32,RU,1547964810,57,50.38,90.44,5.61,2.71
223,Sabha,0,LY,1547964812,93,27.03,14.43,48.81,8.19
224,Antofagasta,75,CL,1547960400,82,-23.65,-70.4,62.6,4.7
225,Marsh Harbour,8,BS,1547964814,100,26.54,-77.06,74.46,17.36
226,Samana,92,EC,1547964816,99,0.12,-76.97,68.88,2.26
227,Abu Dhabi,75,AE,1547960400,55,24.47,54.37,66.2,14.99
228,Bambous Virieux,40,MU,1547964000,66,-20.34,57.76,86.0,16.11
229,Strezhevoy,90,RU,1547962200,85,60.73,77.6,19.4,6.71
230,Tautira,75,PF,1547964000,69,-17.73,-149.15,82.4,3.36
231,Yerkoy,68,TR,1547964822,75,39.64,34.47,17.31,2.59
232,Esso,68,RU,1547964824,87,55.93,158.7,18.93,7.4
233,Las Palmas,48,PE,1547964825,98,-6.53,-76.35,71.58,1.92
234,Paramonga,44,PE,1547964827,100,-10.68,-77.82,69.42,5.39
235,Kommunar,20,RU,1547962200,85,59.62,30.39,24.8,11.18
236,Barpali,0,IN,1547964829,70,21.2,83.58,75.72,4.61
237,Benguela,32,AO,1547964830,100,-12.58,13.4,75.63,3.38
238,Okha,32,RU,1547964832,95,53.59,142.95,0.3,19.15
239,Juruti,92,BR,1547964833,98,-2.16,-56.09,74.01,1.59
240,Lima,40,PE,1547960400,88,-12.06,-77.04,69.8,6.93
241,Nexo,8,DK,1547963400,100,55.06,15.13,35.6,13.87
242,Kalianget,40,ID,1547962200,88,-7.35,109.91,80.6,4.7
243,Vardo,90,US,1547964000,100,39.62,-77.74,35.96,6.93
244,Camacha,75,PT,1547962200,82,33.08,-16.33,60.8,20.8
245,Pangai,75,TO,1547964000,83,-19.8,-174.35,82.4,11.41
246,Yaan,0,NG,1547964842,89,7.38,8.57,69.51,4.5
247,Aloleng,0,PH,1547964844,82,16.13,119.78,84.81,5.17
248,Miri,8,NG,1547964845,58,10.31,9.75,54.21,2.82
249,Baicheng,8,CN,1547964846,36,45.61,122.87,24.78,7.4
250,Boa Vista,75,BR,1547960400,65,2.82,-60.67,82.4,10.29
251,College,90,US,1547964240,83,64.86,-147.8,-0.05,3.04
252,Pangnirtung,12,CA,1547964851,55,66.15,-65.72,-32.46,3.38
253,Bhandaria,0,BD,1547964853,59,22.49,90.06,76.89,5.73
254,Gararu,12,BR,1547964854,96,-9.97,-37.08,70.68,3.27
255,Severo-Kurilsk,88,RU,1547964855,95,50.68,156.12,33.24,12.21
256,Chopovychi,80,UA,1547964857,78,50.83,28.95,17.4,3.15
257,Ponta do Sol,32,BR,1547964858,94,-20.63,-46.0,65.1,3.94
258,Rawlins,20,US,1547962500,78,41.79,-107.24,32.0,32.21
259,Kano,0,NG,1547960400,45,11.99,8.53,62.6,4.7
260,Hermon,88,GB,1547959800,100,51.96,-4.61,42.8,3.36
261,Kalabo,44,ZM,1547964863,97,-15.0,22.67,68.34,7.18
262,Yen Bai,76,VN,1547964864,98,21.7,104.87,66.72,3.04
263,Little Current,1,CA,1547960400,57,45.98,-81.93,-9.41,13.87
264,Sao Filipe,8,CV,1547964867,98,14.9,-24.5,70.59,17.81
265,Saldanha,0,PT,1547964868,93,41.42,-6.55,32.97,5.95
266,Oussouye,24,SN,1547964870,86,12.49,-16.54,70.68,16.69
267,Naze,0,NG,1547964871,93,5.43,7.07,74.01,5.73
